RAIN,DATE,TMAX,TMIN,PRCP,PREV_PRCP_1,PREV_PRCP_2,PREV_PRCP_3,PREV_PRCP_4,PREV_PRCP_5,PREV_PRCP_6,PREV_PRCP_7,PREV_PRCP_8,PREV_PRCP_9,PREV_PRCP_10
TRUE,1948-04-12,50,39,0.03,0,0.18,0.54,0.11,0,0.09,0.08,0.19,0.03,0.34
TRUE,1948-04-13,59,39,0.01,0.03,0,0.18,0.54,0.11,0,0.09,0.08,0.19,0.03
FALSE,1948-04-14,63,42,0,0.01,0.03,0,0.18,0.54,0.11,0,0.09,0.08,0.19
TRUE,1948-04-15,65,47,0.33,0,0.01,0.03,0,0.18,0.54,0.11,0,0.09,0.08
FALSE,1948-04-16,62,43,0,0.33,0,0.01,0.03,0,0.18,0.54,0.11,0,0.09
TRUE,1948-04-17,54,44,0.37,0,0.33,0,0.01,0.03,0,0.18,0.54,0.11,0
FALSE,1948-04-18,58,41,0,0.37,0,0.33,0,0.01,0.03,0,0.18,0.54,0.11
FALSE,1948-04-19,61,37,0,0,0.37,0,0.33,0,0.01,0.03,0,0.18,0.54
FALSE,1948-04-20,66,39,0,0,0,0.37,0,0.33,0,0.01,0.03,0,0.18
TRUE,1948-04-21,55,44,0.09,0,0,0,0.37,0,0.33,0,0.01,0.03,0
TRUE,1948-04-22,57,43,0.24,0.09,0,0,0,0.37,0,0.33,0,0.01,0.03
TRUE,1948-04-23,55,42,0.02,0.24,0.09,0,0,0,0.37,0,0.33,0,0.01
TRUE,1948-04-24,46,40,0.7,0.02,0.24,0.09,0,0,0,0.37,0,0.33,0
TRUE,1948-04-25,49,34,0.02,0.7,0.02,0.24,0.09,0,0,0,0.37,0,0.33
FALSE,1948-04-26,50,32,0,0.02,0.7,0.02,0.24,0.09,0,0,0,0.37,0
FALSE,1948-04-27,53,31,0,0,0.02,0.7,0.02,0.24,0.09,0,0,0,0.37
TRUE,1948-04-28,45,38,0.05,0,0,0.02,0.7,0.02,0.24,0.09,0,0,0
FALSE,1948-04-29,54,33,0,0.05,0,0,0.02,0.7,0.02,0.24,0.09,0,0
TRUE,1948-04-30,56,35,0.16,0,0.05,0,0,0.02,0.7,0.02,0.24,0.09,0
TRUE,1948-05-01,58,38,0.01,0.16,0,0.05,0,0,0.02,0.7,0.02,0.24,0.09
TRUE,1948-05-02,57,35,0.08,0.01,0.16,0,0.05,0,0,0.02,0.7,0.02,0.24
TRUE,1948-05-03,53,42,0.59,0.08,0.01,0.16,0,0.05,0,0,0.02,0.7,0.02
FALSE,1948-05-04,57,42,0,0.59,0.08,0.01,0.16,0,0.05,0,0,0.02,0.7
TRUE,1948-05-05,55,45,0.56,0,0.59,0.08,0.01,0.16,0,0.05,0,0,0.02
TRUE,1948-05-06,58,42,0.27,0.56,0,0.59,0.08,0.01,0.16,0,0.05,0,0
FALSE,1948-05-07,59,40,0,0.27,0.56,0,0.59,0.08,0.01,0.16,0,0.05,0
TRUE,1948-05-08,54,42,0.02,0,0.27,0.56,0,0.59,0.08,0.01,0.16,0,0.05
FALSE,1948-05-09,52,41,0,0.02,0,0.27,0.56,0,0.59,0.08,0.01,0.16,0
TRUE,1948-05-10,57,43,0.26,0,0.02,0,0.27,0.56,0,0.59,0.08,0.01,0.16
FALSE,1948-05-11,63,44,0,0.26,0,0.02,0,0.27,0.56,0,0.59,0.08,0.01
TRUE,1948-05-12,56,42,0.39,0,0.26,0,0.02,0,0.27,0.56,0,0.59,0.08
TRUE,1948-05-13,55,43,0.14,0.39,0,0.26,0,0.02,0,0.27,0.56,0,0.59
TRUE,1948-05-14,58,43,0.03,0.14,0.39,0,0.26,0,0.02,0,0.27,0.56,0
FALSE,1948-05-15,64,43,0,0.03,0.14,0.39,0,0.26,0,0.02,0,0.27,0.56
TRUE,1948-05-16,60,47,0.29,0,0.03,0.14,0.39,0,0.26,0,0.02,0,0.27
FALSE,1948-05-17,62,43,0,0.29,0,0.03,0.14,0.39,0,0.26,0,0.02,0
TRUE,1948-05-18,60,45,0.01,0,0.29,0,0.03,0.14,0.39,0,0.26,0,0.02
TRUE,1948-05-19,60,40,0.1,0.01,0,0.29,0,0.03,0.14,0.39,0,0.26,0
FALSE,1948-05-20,73,44,0,0.1,0.01,0,0.29,0,0.03,0.14,0.39,0,0.26
FALSE,1948-05-21,62,47,0,0,0.1,0.01,0,0.29,0,0.03,0.14,0.39,0
FALSE,1948-05-22,65,48,0,0,0,0.1,0.01,0,0.29,0,0.03,0.14,0.39
FALSE,1948-05-23,66,50,0,0,0,0,0.1,0.01,0,0.29,0,0.03,0.14
FALSE,1948-05-24,80,51,0,0,0,0,0,0.1,0.01,0,0.29,0,0.03
FALSE,1948-05-25,73,51,0,0,0,0,0,0,0.1,0.01,0,0.29,0
FALSE,1948-05-26,69,48,0,0,0,0,0,0,0,0.1,0.01,0,0.29
TRUE,1948-05-27,60,50,0.83,0,0,0,0,0,0,0,0.1,0.01,0
TRUE,1948-05-28,53,48,0.88,0.83,0,0,0,0,0,0,0,0.1,0.01
TRUE,1948-05-29,58,48,0.3,0.88,0.83,0,0,0,0,0,0,0,0.1
FALSE,1948-05-30,69,44,0,0.3,0.88,0.83,0,0,0,0,0,0,0
FALSE,1948-05-31,77,46,0,0,0.3,0.88,0.83,0,0,0,0,0,0
FALSE,1948-06-01,71,46,0,0,0,0.3,0.88,0.83,0,0,0,0,0
FALSE,1948-06-02,76,49,0,0,0,0,0.3,0.88,0.83,0,0,0,0
TRUE,1948-06-03,67,52,0.01,0,0,0,0,0.3,0.88,0.83,0,0,0
FALSE,1948-06-04,70,49,0,0.01,0,0,0,0,0.3,0.88,0.83,0,0
FALSE,1948-06-05,75,48,0,0,0.01,0,0,0,0,0.3,0.88,0.83,0
FALSE,1948-06-06,82,53,0,0,0,0.01,0,0,0,0,0.3,0.88,0.83
FALSE,1948-06-07,87,59,0,0,0,0,0.01,0,0,0,0,0.3,0.88
FALSE,1948-06-08,87,60,0,0,0,0,0,0.01,0,0,0,0,0.3
FALSE,1948-06-09,81,57,0,0,0,0,0,0,0.01,0,0,0,0
FALSE,1948-06-10,76,55,0,0,0,0,0,0,0,0.01,0,0,0
TRUE,1948-06-11,60,53,0.92,0,0,0,0,0,0,0,0.01,0,0
TRUE,1948-06-12,68,50,0.18,0.92,0,0,0,0,0,0,0,0.01,0
TRUE,1948-06-13,68,51,0.11,0.18,0.92,0,0,0,0,0,0,0,0.01
FALSE,1948-06-14,72,50,0,0.11,0.18,0.92,0,0,0,0,0,0,0
FALSE,1948-06-15,71,50,0,0,0.11,0.18,0.92,0,0,0,0,0,0
TRUE,1948-06-16,60,52,0.09,0,0,0.11,0.18,0.92,0,0,0,0,0
TRUE,1948-06-17,66,51,0.01,0.09,0,0,0.11,0.18,0.92,0,0,0,0
FALSE,1948-06-18,71,50,0,0.01,0.09,0,0,0.11,0.18,0.92,0,0,0
FALSE,1948-06-19,68,52,0,0,0.01,0.09,0,0,0.11,0.18,0.92,0,0
TRUE,1948-06-20,60,52,0.76,0,0,0.01,0.09,0,0,0.11,0.18,0.92,0
TRUE,1948-06-21,63,50,0.01,0.76,0,0,0.01,0.09,0,0,0.11,0.18,0.92
FALSE,1948-06-22,62,49,0,0.01,0.76,0,0,0.01,0.09,0,0,0.11,0.18
FALSE,1948-06-23,70,47,0,0,0.01,0.76,0,0,0.01,0.09,0,0,0.11
FALSE,1948-06-24,64,50,0,0,0,0.01,0.76,0,0,0.01,0.09,0,0
FALSE,1948-06-25,64,48,0,0,0,0,0.01,0.76,0,0,0.01,0.09,0
FALSE,1948-06-26,74,50,0,0,0,0,0,0.01,0.76,0,0,0.01,0.09
FALSE,1948-06-27,79,52,0,0,0,0,0,0,0.01,0.76,0,0,0.01
FALSE,1948-06-28,82,57,0,0,0,0,0,0,0,0.01,0.76,0,0
FALSE,1948-06-29,83,56,0,0,0,0,0,0,0,0,0.01,0.76,0
FALSE,1948-06-30,74,53,0,0,0,0,0,0,0,0,0,0.01,0.76
FALSE,1948-07-01,69,45,0,0,0,0,0,0,0,0,0,0,0.01
FALSE,1948-07-02,70,44,0,0,0,0,0,0,0,0,0,0,0
FALSE,1948-07-03,77,47,0,0,0,0,0,0,0,0,0,0,0
TRUE,1948-07-04,66,49,0.24,0,0,0,0,0,0,0,0,0,0
TRUE,1948-07-05,67,50,0.27,0.24,0,0,0,0,0,0,0,0,0
TRUE,1948-07-06,71,51,0.44,0.27,0.24,0,0,0,0,0,0,0,0
TRUE,1948-07-07,66,51,0.09,0.44,0.27,0.24,0,0,0,0,0,0,0
FALSE,1948-07-08,71,48,0,0.09,0.44,0.27,0.24,0,0,0,0,0,0
FALSE,1948-07-09,78,51,0,0,0.09,0.44,0.27,0.24,0,0,0,0,0
FALSE,1948-07-10,73,55,0,0,0,0.09,0.44,0.27,0.24,0,0,0,0
FALSE,1948-07-11,71,54,0,0,0,0,0.09,0.44,0.27,0.24,0,0,0
FALSE,1948-07-12,72,50,0,0,0,0,0,0.09,0.44,0.27,0.24,0,0
FALSE,1948-07-13,76,50,0,0,0,0,0,0,0.09,0.44,0.27,0.24,0
FALSE,1948-07-14,77,51,0,0,0,0,0,0,0,0.09,0.44,0.27,0.24
FALSE,1948-07-15,82,51,0,0,0,0,0,0,0,0,0.09,0.44,0.27
FALSE,1948-07-16,80,55,0,0,0,0,0,0,0,0,0,0.09,0.44
FALSE,1948-07-17,82,55,0,0,0,0,0,0,0,0,0,0,0.09
TRUE,1948-07-18,61,54,0.05,0,0,0,0,0,0,0,0,0,0
TRUE,1948-07-19,64,55,0.09,0.05,0,0,0,0,0,0,0,0,0
FALSE,1948-07-20,67,54,0,0.09,0.05,0,0,0,0,0,0,0,0
FALSE,1948-07-21,74,55,0,0,0.09,0.05,0,0,0,0,0,0,0
FALSE,1948-07-22,71,53,0,0,0,0.09,0.05,0,0,0,0,0,0
TRUE,1948-07-23,71,53,0.01,0,0,0,0.09,0.05,0,0,0,0,0
FALSE,1948-07-24,72,49,0,0.01,0,0,0,0.09,0.05,0,0,0,0
FALSE,1948-07-25,79,48,0,0,0.01,0,0,0,0.09,0.05,0,0,0
TRUE,1948-07-26,80,52,0.34,0,0,0.01,0,0,0,0.09,0.05,0,0
FALSE,1948-07-27,67,51,0,0.34,0,0,0.01,0,0,0,0.09,0.05,0
FALSE,1948-07-28,71,53,0,0,0.34,0,0,0.01,0,0,0,0.09,0.05
FALSE,1948-07-29,74,51,0,0,0,0.34,0,0,0.01,0,0,0,0.09
FALSE,1948-07-30,80,57,0,0,0,0,0.34,0,0,0.01,0,0,0
FALSE,1948-07-31,88,57,0,0,0,0,0,0.34,0,0,0.01,0,0
FALSE,1948-08-01,75,54,0,0,0,0,0,0,0.34,0,0,0.01,0
FALSE,1948-08-02,68,55,0,0,0,0,0,0,0,0.34,0,0,0.01
TRUE,1948-08-03,68,55,0.01,0,0,0,0,0,0,0,0.34,0,0
FALSE,1948-08-04,64,50,0,0.01,0,0,0,0,0,0,0,0.34,0
TRUE,1948-08-05,63,49,0.36,0,0.01,0,0,0,0,0,0,0,0.34
FALSE,1948-08-06,70,51,0,0.36,0,0.01,0,0,0,0,0,0,0
FALSE,1948-08-07,70,48,0,0,0.36,0,0.01,0,0,0,0,0,0
FALSE,1948-08-08,75,51,0,0,0,0.36,0,0.01,0,0,0,0,0
FALSE,1948-08-09,71,55,0,0,0,0,0.36,0,0.01,0,0,0,0
FALSE,1948-08-10,69,54,0,0,0,0,0,0.36,0,0.01,0,0,0
FALSE,1948-08-11,64,53,0,0,0,0,0,0,0.36,0,0.01,0,0
FALSE,1948-08-12,74,56,0,0,0,0,0,0,0,0.36,0,0.01,0
TRUE,1948-08-13,65,53,0.06,0,0,0,0,0,0,0,0.36,0,0.01
FALSE,1948-08-14,68,49,0,0.06,0,0,0,0,0,0,0,0.36,0
TRUE,1948-08-15,68,53,0.41,0,0.06,0,0,0,0,0,0,0,0.36
TRUE,1948-08-16,70,54,0.05,0.41,0,0.06,0,0,0,0,0,0,0
TRUE,1948-08-17,74,55,0.07,0.05,0.41,0,0.06,0,0,0,0,0,0
FALSE,1948-08-18,73,55,0,0.07,0.05,0.41,0,0.06,0,0,0,0,0
FALSE,1948-08-19,68,52,0,0,0.07,0.05,0.41,0,0.06,0,0,0,0
TRUE,1948-08-20,64,52,0.01,0,0,0.07,0.05,0.41,0,0.06,0,0,0
TRUE,1948-08-21,65,55,0.11,0.01,0,0,0.07,0.05,0.41,0,0.06,0,0
TRUE,1948-08-22,70,54,0.01,0.11,0.01,0,0,0.07,0.05,0.41,0,0.06,0
TRUE,1948-08-23,69,50,0.11,0.01,0.11,0.01,0,0,0.07,0.05,0.41,0,0.06
TRUE,1948-08-24,62,53,0.34,0.11,0.01,0.11,0.01,0,0,0.07,0.05,0.41,0
FALSE,1948-08-25,72,55,0,0.34,0.11,0.01,0.11,0.01,0,0,0.07,0.05,0.41
TRUE,1948-08-26,72,52,0.01,0,0.34,0.11,0.01,0.11,0.01,0,0,0.07,0.05
TRUE,1948-08-27,61,53,0.24,0.01,0,0.34,0.11,0.01,0.11,0.01,0,0,0.07
FALSE,1948-08-28,80,55,0,0.24,0.01,0,0.34,0.11,0.01,0.11,0.01,0,0
TRUE,1948-08-29,75,57,0.05,0,0.24,0.01,0,0.34,0.11,0.01,0.11,0.01,0
